UID,Col1,Col2,Col3
0,2,1,1
1,1,2,1
2,2,1,1
3,2,1,1
4,1,2,1
5,1,2,2
6,1,2,1
7,1,2,2
8,2,2,1
9,2,1,2
10,2,2,1
11,1,1,2
12,2,1,1
13,1,1,1
14,2,2,2
15,1,1,2
16,1,1,1
17,1,2,2
18,2,1,1
19,1,2,2
20,2,2,1
21,2,1,2
22,1,2,1
23,2,1,1
24,1,1,1
25,1,2,2
26,2,1,2
27,2,2,2
28,2,1,2
29,1,1,1
30,1,2,1
31,2,2,1
32,2,1,1
33,1,1,2
34,2,2,1
35,2,2,2
36,2,1,2
37,1,2,1
38,2,2,1
39,1,2,1
40,2,1,2
41,1,1,2
42,1,2,1
43,2,1,2
44,1,2,1
45,1,2,1
46,2,2,2
47,1,2,2
48,1,1,2
49,2,2,1
50,2,2,1
51,1,1,2
52,1,1,1
53,2,1,1
54,2,1,2
55,1,1,1
56,1,2,1
57,2,1,2
58,2,1,2
59,2,2,2
60,1,2,2
61,2,2,1
62,2,2,1
63,1,1,2
64,1,1,2
65,1,2,2
66,2,1,2
67,2,2,1
68,1,1,1
69,1,1,1
70,1,2,2
71,1,1,1
72,1,1,1
73,2,2,2
74,2,2,1
75,2,2,1
76,2,2,2
77,2,2,1
78,1,2,1
79,2,1,2
80,1,2,1
81,1,1,2
82,1,2,2
83,1,2,2
84,1,2,1
85,2,1,2
86,2,2,1
87,1,1,2
88,2,2,1
89,1,2,2
90,2,2,1
91,1,1,2
92,2,2,2
93,2,1,2
94,1,2,1
95,1,1,2
96,1,2,1
97,1,2,2
98,1,2,2
99,2,2,2
100,2,2,2
101,1,1,1
102,1,2,1
103,2,1,1
104,1,2,1
105,1,2,1
106,1,1,1
107,1,2,1
108,2,2,2
109,2,1,2
110,2,2,2
111,1,1,2
112,1,1,1
113,2,1,2
114,1,2,1
115,2,2,2
116,1,1,2
117,1,1,1
118,1,2,1
119,2,1,2
120,2,2,1
121,2,2,2
122,2,1,1
123,1,2,1
124,2,1,2
125,2,1,1
126,2,2,1
127,2,2,1
128,1,1,2
129,2,1,1
130,2,1,2
131,2,1,2
132,1,2,1
133,2,1,1
134,2,1,2
135,2,1,2
136,2,2,2
137,2,2,1
138,2,1,2
139,2,1,2
140,1,2,2
141,1,2,1
142,2,2,1
143,1,2,1
144,1,1,1
145,1,1,1
146,2,1,1
147,1,1,1
148,1,2,2
149,2,2,2
150,2,2,2
151,1,2,1
152,1,1,1
153,1,2,1
154,1,2,2
155,1,1,1
156,1,2,2
157,2,2,2
158,2,2,2
159,1,2,2
160,1,2,2
161,1,1,1
162,2,1,2
163,2,1,1
164,1,1,2
165,2,1,1
166,2,2,2
167,2,2,1
168,1,1,1
169,2,1,2
170,1,2,2
171,2,2,1
172,1,2,1
173,2,2,2
174,1,2,1
175,1,2,2
176,2,1,1
177,1,2,1
178,2,1,1
179,1,2,2
